trade_date,open,high,low,close,vol
2022-06-02,39.94,41.15,39.61,41.02,271257.7
2022-06-06,41.15,42.09,40.41,41.71,416927.8
2022-06-07,41.7,42.58,41.48,42.03,342336.64
2022-06-08,41.98,42.18,40.15,40.9,351726.65
2022-06-09,40.88,41.0,39.47,39.83,303524.07
2022-06-10,39.75,41.51,39.53,41.51,400202.17
2022-06-13,41.39,42.3,40.69,41.48,299866.79
2022-06-14,41.0,41.34,38.94,39.74,468037.9
2022-06-15,39.74,41.34,39.5,40.38,445860.29
2022-06-16,40.2,41.96,40.19,40.99,318247.7
2022-06-17,40.57,41.16,39.99,40.96,245089.41
2022-06-20,40.96,41.53,40.61,41.42,319562.44
2022-06-21,41.6,41.68,39.63,39.98,358486.4
2022-06-22,39.95,40.31,39.13,39.21,253738.2
2022-06-23,39.09,42.99,38.86,42.99,732576.21
2022-06-24,44.3,45.96,43.77,45.11,975262.35
2022-06-27,45.6,46.73,44.72,46.4,563649.11
2022-06-28,46.03,47.38,45.75,46.15,479923.48
2022-06-29,46.0,46.49,44.47,44.65,386970.88
2022-06-30,44.62,45.99,44.08,45.51,355997.89
2022-07-01,45.8,47.15,44.7,45.44,350333.56
2022-07-04,45.4,48.98,45.2,48.17,546000.67
2022-07-05,48.3,48.5,47.3,48.1,345408.13
2022-07-06,47.94,50.0,47.18,48.03,530353.61
2022-07-07,48.3,52.34,48.3,51.99,738027.01
2022-07-08,52.22,53.8,51.2,52.3,527421.53
2022-07-11,52.14,53.37,50.51,53.18,484200.37
2022-07-12,52.99,55.35,50.65,50.88,713972.94
2022-07-13,50.62,51.34,49.33,50.11,417345.19
2022-07-14,50.0,52.39,49.85,51.55,351181.8
2022-07-15,51.31,52.91,50.6,51.23,306264.02
2022-07-18,50.8,51.01,48.8,50.8,376463.73
2022-07-19,50.55,52.15,50.08,50.48,279288.04
2022-07-20,50.8,53.53,50.6,53.5,467972.2
2022-07-21,53.0,53.48,51.68,52.34,364332.68
2022-07-22,52.34,53.88,51.5,52.8,274899.74
2022-07-25,53.5,54.01,51.59,51.82,273622.75
2022-07-26,51.7,52.45,50.87,52.0,179138.81
2022-07-27,52.2,52.97,50.89,51.28,249594.13
2022-07-28,51.4,52.39,50.69,52.3,285019.92
2022-07-29,52.54,52.55,49.5,49.77,400133.22
2022-08-01,49.88,50.68,49.31,49.94,195306.21
2022-08-02,51.88,52.04,48.29,48.98,360944.13
2022-08-03,48.99,53.8,48.55,52.8,753689.59
2022-08-04,52.96,53.18,51.4,52.09,370763.09
2022-08-05,51.87,52.92,49.91,51.22,361505.17
2022-08-08,50.55,53.53,50.51,52.9,377206.5
2022-08-09,52.9,55.45,52.0,54.6,466159.88
2022-08-10,54.29,55.28,53.7,54.29,286573.32
2022-08-11,54.1,54.28,53.25,53.8,225184.94
2022-08-12,53.76,53.76,51.83,52.04,262800.84
2022-08-15,52.04,52.9,51.8,52.43,141320.15
2022-08-16,52.53,53.5,51.7,52.0,199992.54
2022-08-17,51.9,52.14,50.66,51.4,177449.55
2022-08-18,51.4,52.1,50.9,51.14,170779.66
2022-08-19,51.19,51.55,49.6,49.68,195038.84
2022-08-22,49.5,51.17,49.3,50.71,188430.11
2022-08-23,50.58,51.46,49.93,50.69,161987.83
2022-08-24,50.49,50.58,47.54,47.74,331660.63
2022-08-25,47.74,48.4,47.1,47.95,171575.4
2022-08-26,48.0,49.33,47.6,48.17,191481.65
2022-08-29,47.7,50.53,47.01,49.91,336674.7
2022-08-30,50.2,50.3,47.85,47.88,225608.05
2022-08-31,47.88,48.18,45.66,45.97,256887.23
2022-09-01,46.02,46.88,45.6,45.88,160993.06
2022-09-02,45.8,46.13,44.79,45.22,222198.96
2022-09-05,44.8,46.55,44.8,45.77,209004.1
2022-09-06,46.1,47.97,45.82,47.14,243003.06
2022-09-07,46.71,47.6,46.68,47.24,196524.5
2022-09-08,47.12,48.4,47.01,47.76,220280.44
2022-09-09,47.78,48.96,47.38,48.03,177968.82
2022-09-13,48.2,49.23,47.99,49.0,203259.45
2022-09-14,48.4,49.42,48.2,49.23,230865.91
2022-09-15,49.17,49.17,46.53,47.2,254469.04
2022-09-16,47.0,48.1,46.72,46.88,221610.62
2022-09-19,46.51,47.55,45.6,46.01,137205.18
2022-09-20,46.38,46.6,45.03,45.75,138497.56
2022-09-21,45.42,45.74,43.77,44.8,210528.67
2022-09-22,44.55,47.1,44.55,46.6,267168.33
2022-09-23,46.49,48.44,46.25,46.74,206879.33
2022-09-26,46.22,46.68,45.02,45.29,155875.78
2022-09-27,45.29,46.56,45.29,46.47,141843.78
2022-09-28,46.18,47.17,43.87,43.98,203783.25
2022-09-29,44.35,44.88,42.89,43.38,207951.85
2022-09-30,43.56,43.64,41.84,41.95,161512.07
2022-10-10,42.5,42.52,40.9,41.44,155787.35
2022-10-11,41.58,41.84,40.73,41.5,127842.18
2022-10-12,41.52,42.6,40.51,42.59,159764.27
2022-10-13,42.23,45.0,42.16,43.29,243818.39
2022-10-14,43.5,45.54,43.3,45.21,218609.74
2022-10-17,45.21,47.08,45.02,46.62,257973.97
2022-10-18,46.6,46.65,45.98,46.32,128624.39
2022-10-19,46.22,47.18,45.79,46.04,135103.23
2022-10-20,45.8,46.89,45.15,46.12,174832.65
2022-10-21,46.13,46.28,44.64,45.5,191591.91
2022-10-24,46.28,49.3,46.28,48.45,520220.38
2022-10-25,48.45,48.89,47.35,48.1,282898.56
2022-10-26,48.0,49.08,47.39,48.31,299150.96
2022-10-27,48.4,48.49,46.9,47.81,265418.7
2022-10-28,47.6,48.36,46.61,46.98,182645.77
2022-10-31,44.9,49.23,43.0,48.64,533609.44
2022-11-01,48.5,49.07,47.04,47.75,325470.52
2022-11-02,47.5,48.03,46.61,47.08,293379.93
2022-11-03,46.8,48.08,46.58,47.79,233194.84
2022-11-04,47.58,48.1,47.11,48.07,223852.27
2022-11-07,48.3,49.16,46.45,47.06,305948.3
2022-11-08,47.07,47.31,46.31,47.01,161316.48
2022-11-09,47.49,47.8,46.28,46.31,168862.75
2022-11-10,46.0,46.0,44.35,44.96,263485.63
2022-11-11,45.97,46.01,44.79,45.07,180654.17
2022-11-14,44.9,45.49,43.51,43.8,309124.71
2022-11-15,43.69,44.7,43.56,44.21,275567.92
2022-11-16,44.44,45.27,44.09,44.5,299377.73
2022-11-17,44.11,44.89,43.08,44.79,222177.75
2022-11-18,44.65,44.96,43.85,43.85,171364.79
2022-11-21,43.36,44.76,43.25,44.5,176033.78
2022-11-22,44.5,46.0,44.1,45.1,267441.5
2022-11-23,44.88,45.73,44.5,45.36,184921.35
2022-11-24,45.37,45.7,44.81,45.0,113592.92
2022-11-25,44.91,45.2,44.01,44.17,175384.23
2022-11-28,43.5,45.06,43.34,45.03,185460.86
2022-11-29,45.03,45.77,44.63,44.9,193164.02
